ID,Target,Question,Correct Answer,Distractor 1,Distractor 2,Distractor 3,D1,D2,D3,notes
50,confer,The committee will <blank> with the experts to finalize the details of the project.,confer,argue,ignore,refuse,1,0,0,more than one answer
51,confine,"During the quarantine, people were asked to <blank> themselves to their homes to prevent the spread of the virus.",confine,expand,release,explore,0,0,0,
52,conform,"In order to join the club, members must <blank> to its rules and regulations.",conform,reject,oppose,ignore,0,0,0,
53,conspicuous,The bright red car was so <blank> in the parking lot that everyone noticed it immediately.,conspicuous,ordinary,invisible,hidden,0,0,0,
54,contemplation,"After a long day, she sat by the window in deep <blank>, thinking about her future.",contemplation,celebration,hesitation,imagination,0,0,0,
55,contend,The athletes had to <blank> with difficult weather conditions during the marathon.,contend,avoid,ignore,celebrate,0,0,0,
56,contour,"The map clearly shows the <blank> of the mountains, making it easier for hikers to plan their route.",contour,shadow,outline,surface,1,1,0,more than one answer
57,cordial,The host was very <blank> and made everyone feel welcome at the party.,cordial,rude,distant,awkward,0,0,0,
58,corrupt,The politician was accused of being <blank> after evidence showed he accepted bribes.,corrupt,honest,reliable,innocent,0,0,0,
59,countenance,"Despite the difficult situation, she managed to keep a calm <blank> and reassured everyone around her.",countenance,gesture,attitude,expression,0,1,1,more than one answer
60,counterpart,The new manager worked closely with her <blank> in the other department to ensure the project was successful.,counterpart,opponent,assistant,supervisor,0,0,1,more than one answer
61,courteous,The waiter was very <blank> and made sure we had everything we needed during our meal.,courteous,rude,careless,impatient,0,0,0,
62,courtesy,It is always a good idea to show <blank> when someone holds the door open for you.,courtesy,anger,confusion,silence,0,0,0,
63,coverage,"The news channel provided live <blank> of the event, allowing viewers to see everything as it happened.",coverage,storage,protection,exposure,0,0,0,
64,craft,The children learned how to <blank> a small boat using simple materials during the workshop.,craft,build,design,paint,1,1,1,more than one answer
65,crucial,It is <blank> to wear a helmet while riding a bike to ensure your safety.,crucial,optional,unnecessary,irrelevant,0,0,0,
66,crude,"The factory produces <blank> oil, which needs to be refined before it can be used.",crude,polished,synthetic,refined,0,1,0,more than one answer
67,cynical,"He has such a <blank> attitude that he always assumes people have bad intentions, even when they are trying to help.",cynical,optimistic,trusting,cheerful,1,0,0,a/an issue
68,decent,"The hotel was not luxurious, but it was clean and offered <blank> accommodation for the price.",decent,terrible,extravagant,inadequate,0,0,0,
69,deception,The magician's trick was so clever that the audience didn't realize the <blank> until the end of the show.,deception,decision,direction,description,0,0,0,
70,declaration,The president made a formal <blank> about the new policies during the press conference.,declaration,discussion,argument,announcement,0,0,1,more than one answer
71,decline,The number of visitors to the museum began to <blank> after the new exhibition ended.,decline,increase,remain,improve,1,0,0,more than one answer
72,decree,The government issued a <blank> to enforce new safety regulations across the country.,decree,proposal,request,suggestion,1,1,0,more than one answer
73,defy,The young athlete managed to <blank> all expectations and win the championship despite being an underdog.,defy,accept,follow,ignore,0,0,0,
74,denounce,"The journalist was brave enough to <blank> the corruption within the government, even though it put her at risk.",denounce,support,ignore,praise,0,0,0,
75,deposit,"Before renting the apartment, you need to pay a <blank> to secure it.",deposit,loan,fine,fee,0,0,0,
76,despise,He claimed to <blank> dishonesty and always valued honesty above all else.,despise,admire,tolerate,ignore,0,0,0,
77,dictation,The teacher asked the students to listen carefully during the <blank> so they could write down everything correctly.,dictation,discussion,presentation,explanation,1,1,1,more than one answer
78,diplomacy,The two countries avoided a war by using <blank> to resolve their disagreements.,diplomacy,violence,ignorance,confusion,0,0,0,
79,disclosure,The company made a public <blank> about the changes to its privacy policy.,disclosure,decision,announcement,discussion,0,1,0,more than one answer
80,disguise,The spy wore a clever <blank> to avoid being recognized during the mission.,disguise,costume,uniform,mask,0,0,0,
81,dismissal,The sudden <blank> of the employee caused confusion among the team members.,dismissal,promotion,arrival,appointment,1,0,0,more than one answer
82,disposition,"Her cheerful <blank> made her a favorite among her colleagues, as she was always positive and friendly.",disposition,decision,position,condition,0,0,0,
83,dissolve,"When you add sugar to hot tea, it will <blank> completely, leaving no grains behind.",dissolve,melt,evaporate,freeze,1,0,0,more than one answer
84,distort,"The funhouse mirrors are designed to <blank> your reflection, making you look taller, shorter, or wider than you really are.",distort,reflect,enhance,magnify,0,0,1,more than one answer
85,distortion,"The photograph showed a clear <blank> of the original image, making it difficult to recognize the details.",distortion,reflection,impression,correction,0,0,0,
86,doctrine,"The professor explained the main <blank> of the philosopher's teachings, which influenced many modern thinkers.",doctrine,opinion,habit,method,0,0,0,
87,elaborate,Could you please <blank> on your idea so that we can understand it better?,elaborate,simplify,ignore,repeat,0,0,0,
88,elastic,"The waistband of these pants is made of <blank> material, so it stretches easily to fit different sizes.",elastic,rigid,fragile,static,0,0,0,
89,eloquent,The speaker was so <blank> that everyone in the audience was captivated by his words.,eloquent,silent,confusing,awkward,0,0,0,
90,endeavor,The team made a great <blank> to complete the project on time despite the challenges.,endeavor,mistake,delay,failure,0,0,0,
91,enroll,"If you want to take the course, you need to <blank> before the deadline.",enroll,cancel,withdraw,postpone,0,0,0,
92,erase,Please <blank> the board after the lesson so it is clean for the next class.,erase,write,paint,draw,0,0,0,
93,esteem,The teacher is held in high <blank> by her students because of her dedication and kindness.,esteem,doubt,fear,confusion,0,0,0,
94,evaporate,"When the sun shines on a puddle of water, the water will slowly <blank> and disappear into the air.",evaporate,condense,freeze,melt,0,0,0,
95,excel,She worked very hard to <blank> in her studies and achieve her goals.,excel,fail,struggle,hesitate,0,0,0,
96,exclamation,"When she saw the surprise party, she let out an excited <blank> of joy.",exclamation,whisper,complaint,question,0,0,0,
97,execution,The <blank> of the plan was delayed due to unforeseen circumstances.,execution,creation,preparation,discussion,1,1,1,more than one answer
98,expedition,"The team prepared for their challenging <blank> to the Arctic, where they would face extreme weather conditions.",expedition,vacation,celebration,migration,0,0,0,
99,exploit,Some companies try to <blank> natural resources without considering the environmental impact.,exploit,preserve,ignore,protect,0,0,0,
100,extensive,"The library has an <blank> collection of books, covering a wide range of topics and genres.",extensive,limited,narrow,exclusive,1,1,1,a/an issue
101,facilitate,"The new software was designed to <blank> communication between team members, making collaboration much easier.",facilitate,complicate,hinder,ignore,0,0,0,
102,faculty,"The university is known for its excellent <blank> in science and technology, attracting students from all over the world.",faculty,library,campus,cafeteria,0,0,0,
103,fasten,"Before the plane takes off, please <blank> your seatbelt for safety.",fasten,remove,loosen,adjust,0,0,1,more than one answer
104,feeble,"After being sick for a week, he felt too <blank> to go back to work.",feeble,strong,energetic,sturdy,0,0,0,
105,fellowship,The university offers a special <blank> to students who want to work together on research projects.,fellowship,scholarship,membership,internship,1,0,1,more than one answer
106,fiscal,The government announced new <blank> policies to address the country's economic challenges.,fiscal,social,cultural,political,1,0,1,more than one answer
107,frail,"The old bridge looked <blank> and unsafe, so the city decided to rebuild it.",frail,sturdy,modern,strong,0,0,0,
108,fright,The loud noise gave her such a <blank> that she dropped the glass she was holding.,fright,joy,relief,surprise,0,0,1,more than one answer
109,frightful,The weather was so <blank> last night that we decided to stay indoors instead of going out.,frightful,pleasant,calm,ordinary,0,0,0,
110,fulfillment,Many people find <blank> in helping others and making a positive impact on their lives.,fulfillment,confusion,disappointment,frustration,0,0,0,
111,fuss,"There was a lot of <blank> over the new policy, even though it didn’t affect most people.",fuss,joy,silence,agreement,1,0,0,more than one answer
112,gasp,"When the magician made the rabbit disappear, the audience let out a collective <blank> of surprise.",gasp,cheer,whisper,shout,1,0,1,more than one answer
113,glimpse,"Through the open door, I caught a quick <blank> of the beautiful garden outside.",glimpse,view,scene,look,1,0,0,more than one answer
114,gracious,The host was very <blank> and made everyone feel welcome at the party.,gracious,rude,awkward,distant,0,0,0,
115,gradual,The changes in the weather were so <blank> that most people didn’t notice them at first.,gradual,sudden,immediate,unexpected,1,1,1,more than one answer
116,grave,The situation was so serious that everyone understood the <blank> consequences of their actions.,grave,light,funny,minor,0,0,0,
117,gross,The movie was so <blank> that I couldn't even finish watching it.,gross,boring,funny,exciting,1,0,0,more than one answer
118,grumble,"Whenever the teacher gave us too much homework, some students would <blank> quietly under their breath.",grumble,cheer,apologize,whisper,0,0,0,
119,hasty,He made a <blank> decision without thinking about the possible consequences.,hasty,careful,deliberate,thoughtful,0,0,0,
120,heighten,The purpose of the new policy is to <blank> awareness about environmental issues among students.,heighten,reduce,ignore,weaken,0,0,0,
121,hindrance,The heavy rain was a major <blank> to the progress of the construction project.,hindrance,advantage,solution,opportunity,0,0,0,
122,honorable,"The mayor was praised for his <blank> actions during the crisis, as he always put the needs of the people first.",honorable,selfish,reckless,dishonest,0,0,0,
123,honorary,The professor was given an <blank> degree by the university for his contributions to science.,honorary,temporary,ordinary,voluntary,1,0,1,a/an issue
124,horrible,The weather was so <blank> yesterday that we decided to stay indoors all day.,horrible,pleasant,amazing,comfortable,0,0,0,
125,idle,"During the long power outage, the machines remained <blank> for hours.",idle,active,broken,busy,0,0,0,
126,implicit,"The teacher's instructions were <blank>, so the students had to figure out the details on their own.",implicit,explicit,confusing,unclear,0,1,1,more than one answer
127,implore,The villagers decided to <blank> the mayor to provide more resources after the storm caused severe damage.,implore,ignore,demand,persuade,0,0,1,more than one answer
128,impulsive,He made an <blank> decision to buy the car without thinking about the cost or his budget.,impulsive,calculated,deliberate,hesitant,1,1,1,a/an issue
129,inclination,"She has a natural <blank> to help others, always offering support whenever someone is in need.",inclination,hesitation,obligation,restriction,0,0,0,
130,incorporate,The teacher encouraged the students to <blank> their own ideas into the group project to make it more creative.,incorporate,separate,exclude,remove,0,0,0,
131,indifferent,"He seemed completely <blank> to the news, showing no reaction at all.",indifferent,excited,angry,curious,0,0,0,
132,indignant,She felt <blank> when she was wrongly accused of breaking the vase.,indignant,grateful,amused,relieved,0,0,0,
133,induce,"The doctor explained that certain medications can <blank> sleepiness, so it’s important to avoid driving after taking them.",induce,reduce,prevent,ignore,0,0,0,
134,indulge,"After a long week of work, she decided to <blank> in her favorite dessert as a treat.",indulge,refuse,ignore,sacrifice,0,0,0,
135,ingenious,"The scientist came up with an <blank> solution to the problem, which saved both time and money.",ingenious,ordinary,confusing,ineffective,0,1,0,a/an issue
136,inquiry,The customer sent an <blank> to the company to ask about the new product's features.,inquiry,invitation,complaint,announcement,0,1,0,a/an issue
137,insistence,"Despite her parents' objections, she continued with her plans due to her strong <blank> on following her dreams.",insistence,hesitation,confusion,indifference,0,0,0,
138,intermediate,"She is no longer a beginner in English; her level is now <blank>, and she can hold conversations with ease.",intermediate,advanced,basic,fluent,1,0,0,more than one answer
139,intimate,"The restaurant had a very <blank> atmosphere, perfect for a romantic dinner.",intimate,noisy,formal,dull,0,1,0,more than one answer
140,intrude,Please do not <blank> on private property without permission.,intrude,invite,explore,observe,0,0,0,
141,keen,She has always been very <blank> on learning new languages and spends hours practicing every day.,keen,bored,indifferent,reluctant,0,0,0,
142,lean,The tree was so tall that I had to <blank> back to see the top of it.,lean,jump,crawl,sit,0,0,0,
143,legislature,"The new law was passed by the <blank>, which is responsible for creating and approving legislation.",legislature,courtroom,committee,executive,0,1,0,more than one answer
144,liable,"If you damage the equipment, you will be <blank> for the cost of repairs.",liable,eligible,capable,suitable,0,0,0,
145,longitude,The map shows the <blank> and latitude of different locations on Earth.,longitude,altitude,temperature,distance,0,0,0,
146,lovely,The weather was so <blank> yesterday that we decided to have a picnic in the park.,lovely,stormy,boring,cold,0,0,0,
147,manifest,The symptoms of the disease did not <blank> until several weeks after the infection.,manifest,vanish,disguise,diminish,1,0,1,more than one answer
148,mastery,"Achieving <blank> in a skill requires practice, patience, and dedication over time.",mastery,failure,confusion,ignorance,0,0,0,
149,meddle,It's not polite to <blank> in other people's personal matters without being asked.,meddle,assist,observe,ignore,1,0,0,more than one answer
150,mediate,The teacher had to <blank> between the two students who were arguing about the project.,mediate,interrupt,compete,observe,0,0,0,
151,menace,The dark clouds in the sky were a clear <blank> of the approaching storm.,menace,promise,sign,hope,1,1,0,more than one answer
152,misfortune,"Despite his <blank>, he remained optimistic and continued to work hard to achieve his goals.",misfortune,success,happiness,luck,0,0,0,
153,missing,I can't find my keys; they seem to be <blank> from the table where I left them.,missing,broken,hidden,stolen,0,0,0,
154,mixed,"The salad was made with a <blank> variety of fresh vegetables, including lettuce, tomatoes, and cucumbers.",mixed,single,separate,divided,0,0,0,
155,moan,"After a long day at work, he let out a tired <blank> as he sat down on the couch.",moan,laugh,shout,whisper,0,0,0,
156,modify,The teacher asked the students to <blank> their essays to make them clearer and more concise.,modify,ignore,delete,repeat,0,0,0,
157,monstrous,The movie was so <blank> that many people left the theater halfway through because they found it too scary.,monstrous,boring,funny,ordinary,0,0,0,
158,morale,The manager organized a team-building activity to improve the <blank> of the employees after a challenging week.,morale,salary,schedule,attendance,0,0,0,
159,mortal,"The hero in the story was not <blank>, which made him relatable to the readers.",mortal,immortal,eternal,divine,1,0,0,more than one answer
160,mortgage,"To buy their first house, they had to take out a <blank> from the bank.",mortgage,loan,deposit,investment,1,0,1,"a/an issue, more than one answer"
161,mount,The climbers were excited to <blank> the peak of the mountain after days of hiking.,mount,descend,avoid,ignore,0,0,0,
162,mow,"Every Saturday, I <blank> the lawn to keep it looking neat and tidy.",mow,trim,water,plant,1,1,0,more than one answer
163,multitude,"The park was filled with a <blank> of colorful flowers, making it a beautiful place to visit.",multitude,scarcity,absence,handful,0,1,0,a/an issue
164,municipal,The local government is responsible for providing <blank> services such as waste collection and public transportation.,municipal,private,international,commercial,0,0,0,
165,mutual,They developed a <blank> respect for each other after working together on the project.,mutual,individual,temporary,casual,1,0,0,a/an issue
166,naive,"She was so <blank> that she believed everything he said, even though it was clearly untrue.",naive,cautious,suspicious,experienced,0,0,0,
167,neat,Her handwriting is so <blank> that everyone can read it without any trouble.,neat,messy,unclear,complicated,0,0,0,
168,note,Please leave a <blank> on my desk if you have any questions about the project.,note,book,card,letter,0,0,1,more than one answer
169,noticeable,The changes in the design were so <blank> that everyone immediately noticed them.,noticeable,invisible,ordinary,confusing,0,0,0,
170,numb,"After sitting in the same position for hours, my legs started to feel <blank>, and I couldn't move them properly.",numb,weak,stiff,sore,0,1,1,more than one answer
171,oath,"Before taking office, the president must swear an <blank> to uphold the constitution.",oath,agreement,promise,contract,0,1,1,a/an issue
172,objection,"The lawyer raised an <blank> to the evidence presented in court, arguing that it was not relevant to the case.",objection,agreement,approval,suggestion,0,0,1,a/an issue
173,obliged,"In some cultures, people feel <blank> to help their neighbors in times of need.",obliged,relaxed,unwilling,indifferent,0,1,0,more than one answer
174,obscure,The meaning of the old text was difficult to understand because the handwriting was so <blank>.,obscure,clear,bright,famous,0,0,0,
175,offend,"He didn’t mean to <blank> anyone with his comments, but some people found them inappropriate.",offend,praise,entertain,confuse,0,0,1,more than one answer
176,offensive,"Some people found his comments during the meeting to be quite <blank>, as they were rude and disrespectful.",offensive,polite,helpful,neutral,0,0,0,
177,omit,Please make sure not to <blank> any important details when filling out the form.,omit,include,repeat,highlight,0,0,0,
178,opponent,"During the chess match, he carefully studied his <blank> to predict their next move.",opponent,teammate,spectator,referee,0,0,0,
179,outward,"The train was heading <blank> from the city, taking passengers to the countryside.",outward,inward,upward,backward,0,0,0,
180,overflow,"After the heavy rain, the river began to <blank> and flood the nearby fields.",overflow,collapse,freeze,shrink,0,0,0,
181,overlook,"From the balcony, you can <blank> the beautiful valley and the river flowing through it.",overlook,ignore,block,miss,0,0,0,
182,overtake,The red car was going so fast that it managed to <blank> all the other vehicles on the highway.,overtake,follow,approach,avoid,0,0,0,
183,overthrow,The rebels planned to <blank> the government and take control of the country.,overthrow,support,protect,negotiate,0,0,0,
184,page,Please turn to the next <blank> in your book to continue reading the story.,page,chapter,cover,paragraph,1,0,0,more than one answer
185,pant,"After running up the hill, he began to <blank> heavily, trying to catch his breath.",pant,shout,whisper,laugh,0,0,0,
186,perpetual,"The clock in the old tower is famous for its <blank> motion, never stopping even after hundreds of years.",perpetual,temporary,occasional,irregular,0,0,0,
187,persecute,"Throughout history, many groups have been unfairly <blank> because of their beliefs or backgrounds.",persecute,protect,celebrate,ignore,0,0,0,
188,persecution,Many people fled their country to escape <blank> and find safety elsewhere.,persecution,celebration,protection,cooperation,0,0,0,
189,pertinent,The teacher asked the students to only include information that is <blank> to the topic in their essays.,pertinent,irrelevant,random,confusing,0,0,0,
190,pinch,"To make the soup taste better, just add a <blank> of salt before serving.",pinch,drop,slice,spoon,0,0,1,more than one answer
191,plea,The lawyer made a <blank> to the judge for a lighter sentence for his client.,plea,claim,demand,offer,0,0,1,a/an issue
192,plead,The lawyer stood up to <blank> with the judge for a lighter sentence for his client.,plead,argue,demand,propose,1,0,0,more than one answer
193,plunge,"The temperature is expected to <blank> sharply tonight, so make sure to wear warm clothes.",plunge,rise,remain,increase,0,0,0,
194,plural,"In English, nouns that refer to more than one item are written in the <blank> form.",plural,singular,general,abstract,0,0,0,
195,poke,"Be careful not to <blank> the bear with a stick, as it might get angry.",poke,pat,pull,push,0,0,1,more than one answer
196,pose,The photographer asked the model to <blank> in a way that showed confidence and elegance.,pose,stand,move,sit,1,1,1,more than one answer
197,postal,I need to go to the <blank> office to send this package to my friend.,postal,bank,train,grocery,0,0,0,
198,posture,Good <blank> is important when sitting at a desk for long hours to avoid back pain.,posture,gesture,position,movement,0,0,0,
199,preach,The teacher always tries to <blank> kindness and understanding to her students.,preach,ignore,demand,avoid,0,0,0,
200,preclude,The heavy rain did not <blank> us from going on our planned hike in the mountains.,preclude,encourage,assist,permit,0,0,0,
201,prescription,The doctor gave me a <blank> so I could buy the medicine I need from the pharmacy.,prescription,description,subscription,permission,0,0,0,
202,preside,The judge was chosen to <blank> over the court proceedings to ensure fairness and order.,preside,observe,assist,attend,0,0,0,
203,prime,The <blank> reason for their success is their ability to work as a team and support each other.,prime,minor,secondary,average,1,1,0,more than one answer
204,proclamation,The president made a formal <blank> to announce the new policy changes to the public.,proclamation,discussion,argument,observation,0,0,0,
205,profound,"The speaker's words had a <blank> impact on the audience, leaving them deep in thought.",profound,minor,confusing,temporary,0,0,0,
206,prohibit,The school decided to <blank> the use of mobile phones during class to help students focus better.,prohibit,allow,encourage,promote,0,0,0,
207,promote,The school organized a campaign to <blank> healthy eating habits among students.,promote,ignore,prevent,discourage,0,0,0,
208,proposition,The lawyer presented a strong <blank> to support his client's case in court.,proposition,objection,assumption,conclusion,1,0,0,more than one answer
209,prosecute,The lawyer explained that they would <blank> the suspect if there was enough evidence to prove the crime.,prosecute,defend,release,pardon,0,0,0,
210,prosperous,The city became very <blank> after the discovery of gold in the nearby mountains.,prosperous,ordinary,desolate,chaotic,0,0,1,more than one answer
211,provision,The school made special <blank> for students with disabilities to ensure they could participate in all activities.,provision,decision,restriction,condition,0,0,0,
212,quotation,The teacher asked the students to include a famous <blank> in their essays to support their arguments.,quotation,question,statement,comment,0,0,0,
213,radiant,"The bride looked absolutely <blank> in her wedding dress, glowing with happiness and beauty.",radiant,dull,ordinary,gloomy,0,0,0,
214,radical,The new government introduced a <blank> change in the education system to improve learning outcomes.,radical,minor,traditional,gradual,1,0,1,more than one answer
215,raid,The police conducted a <blank> on the house to search for stolen goods.,raid,visit,inspection,journey,0,1,0,a/an issue
216,rapture,The children screamed with <blank> when they saw the fireworks light up the night sky.,rapture,confusion,boredom,fear,0,0,0,
217,rear,"The car's trunk is located at the <blank> of the vehicle, where you can store your luggage.",rear,front,side,top,0,0,0,
218,reassure,The teacher tried to <blank> the students that the test would not be too difficult.,reassure,confuse,frighten,ignore,0,0,0,
219,rebel,The young soldier decided to <blank> against the unfair orders given by his commander.,rebel,obey,support,assist,0,0,0,
220,recall,I can't <blank> where I put my keys this morning.,recall,forget,ignore,imagine,0,0,0,
221,recollect,I can't <blank> where I put my keys this morning. I've been looking for them everywhere.,recollect,predict,imagine,forget,0,0,0,
222,reconstruct,"After the storm destroyed the old bridge, the city decided to <blank> it to ensure safe travel for everyone.",reconstruct,demolish,abandon,decorate,0,0,0,
223,reddish,The sunset painted the sky in beautiful shades of orange and <blank>.,reddish,bluish,yellowish,greenish,0,0,0,
224,refine,"The chef worked hard to <blank> the recipe, making it even better than before.",refine,ignore,ruin,simplify,0,0,0,
225,regime,The new government introduced a strict <blank> to improve the country's economy.,regime,routine,agenda,policy,0,0,1,more than one answer
226,regrettable,It was a <blank> mistake to cancel the event without informing everyone in advance.,regrettable,acceptable,intentional,unavoidable,0,1,1,a/an issue
227,rejoice,"After hearing the good news, the whole family gathered to <blank> together.",rejoice,argue,mourn,complain,0,0,0,
228,relieved,"After hearing the good news, she felt so <blank> that she couldn't stop smiling.",relieved,confused,nervous,angry,0,0,0,
229,render,The new software can <blank> high-quality images in just a few seconds.,render,delete,capture,store,0,1,1,more than one answer
230,reorganize,The manager asked the team to <blank> the files so that they would be easier to find.,reorganize,delete,misplace,scatter,0,0,0,
231,reproach,"He looked at her with a mix of disappointment and <blank>, clearly upset by her actions.",reproach,admiration,gratitude,indifference,0,0,0,
232,resentment,She couldn't hide her <blank> when she found out her colleague got the promotion she wanted.,resentment,happiness,excitement,gratitude,1,0,0,more than one answer
233,reside,Many students <blank> in the dormitories provided by the university during their studies.,reside,travel,visit,explore,0,0,0,
234,resonance,"The speech had a strong emotional <blank> with the audience, leaving many people deeply moved.",resonance,confusion,distance,disconnection,0,0,0,
235,resort,"During the summer, many families choose to stay at a beach <blank> to enjoy the sun and the sea.",resort,station,village,market,0,0,0,
236,respectable,"The teacher is a very <blank> person, and all the students admire her for her fairness and kindness.",respectable,unfriendly,dishonest,careless,0,0,0,
237,respective,The students were asked to return to their <blank> seats after the break.,respective,random,shared,opposite,0,0,0,
238,restoration,"The museum is currently closed for the <blank> of its historic building, which has been damaged over time.",restoration,destruction,construction,removal,0,0,0,
239,revelation,The scientist's discovery was a surprising <blank> that changed the way we understand the universe.,revelation,confusion,assumption,mistake,0,0,0,
240,revolve,The planets in our solar system <blank> around the Sun in elliptical orbits.,revolve,rotate,float,scatter,1,0,0,more than one answer
241,rigid,"The rules of the competition were very <blank>, leaving no room for flexibility or exceptions.",rigid,lenient,unclear,flexible,0,0,0,
